Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
American Gods,$20.29,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/15228105,"Gaiman, Neil",2059889,541,HarperCollins,English,9.00 x 6.25 x 1.25 Inches,
Skipping Christmas,$7.19,Books > Literature & Fiction > Fiction > General,http://www.walmart.com/ip/14259896,"Grisham, John",0422964,248,Random House,English,7.75 x 4.25 x 0.50 Inches,1
Pretty Girls,$12.79,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",http://www.walmart.com/ip/55163351,Karin Slaughter,2499557,432,William Morrow &amp; Co,English,8.00 x 5.25 x 1.25 Inches,
Wyrd Sisters,$9.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/22044518,"Pratchett, Terry",2225738,360,HarperCollins,English,7.50 x 4.25 x 1.00 Inches,
Dishonored,$6.41,Books > Literature & Fiction > Fiction > Media Tie-Ins,http://www.walmart.com/ip/55339356,"Christopher, Adam",1783293055,368,Random House,English,4.19 x 6.88 x 8.00 Inches,
Shift,$9.48,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/49208833,Hugh Howey,4839649,576,Houghton Mifflin HarcourtJohn Joseph Adams/Mariner Books,,203.20 x 5.31 x 1.42 Millimeters,
CAMINO ISLAND: A NOVEL,$9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",http://www.walmart.com/ip/689320415,"GRISHAM, JOHN",1524797154,368,,,,
Mercy Falls,$13.17,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",http://www.walmart.com/ip/10969907,William Kent Krueger,9157806,368,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),
The Big Sky: A Novel,$11.02,Books > Literature & Fiction > Fiction > Westerns,http://www.walmart.com/ip/1572791,"Guthrie, A. B.",8154631,386,Houghton Mifflin Harcourt,English,5.50 x 8.00 x 1.00 Inches,
Cat Sitter on a Hot Tin Roof,$19.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",http://www.walmart.com/ip/52862750,"Clement, Blaize",1250095352,306,St. Martins Press-3pl,English,5.00 x 0.69 x 7.99 Inches,
