Name,Sale Price,Category,Availability,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance Hardcover – November 18, 2014",$31.50,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0374261172,Jeff VanderMeer,0374261172,,"FSG Originals; First Edition edition (November 18, 2014)",English,6.6 x 1.8 x 8.5 inches,1.5 pounds,3.7 out of 5 stars
"1984 (Signet Classics) Mass Market Paperback – Unabridged, July 1, 1950",$6.17,Books > Humor & Entertainment > Humor,In Stock.,http://www.amazon.com/gp/product/0451524934,George Orwell,0451524934,328 pages,"Signet Classic (January 1, 1961)",English,4.2 x 0.9 x 7.5 inches,8.5 ounces,4.5 out of 5 stars
"Dungeon Master's Screen Reincarnated Book Supplement – September 19, 2017",$10.71,Books > Science Fiction & Fantasy > Gaming,In Stock.,http://www.amazon.com/gp/product/078696619X,Wizards RPG Team,078696619X,,"Wizards of the Coast; Brdgm edition (September 19, 2017)",English,8.5 x 0.4 x 10.8 inches,13.4 ounces,4.7 out of 5 stars
"Burn Bright (Alpha and Omega) Hardcover – March 6, 2018",$16.20,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/0425281310,Patricia Briggs,0425281310,,"Ace (March 6, 2018)",English,6.4 x 1 x 9.3 inches,1.1 pounds,4.7 out of 5 stars
"Altered Carbon (Takeshi Kovacs) Paperback – March 4, 2003",$12.98,Books > Science Fiction & Fantasy > Science Fiction,In Stock.,http://www.amazon.com/gp/product/0345457684,Richard K. Morgan,0345457684,375 pages,"Del Rey; 1st edition (March 4, 2003)",English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3 out of 5 stars
"Authority: A Novel (The Southern Reach Trilogy) Paperback – May 6, 2014",$13.39,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0374104107,Jeff VanderMeer,0374104107,352 pages,"FSG Originals; First Printing edition (May 6, 2014)",English,5 x 0.9 x 7.5 inches,8.8 ounces,3.6 out of 5 stars
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",$32.49,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0345535529,George R. R. Martin,0345535529,5216 pages,"Bantam; Media Tie In edition (October 29, 2013)",English,8 x 4.5 x 7 inches,5.1 pounds,4.7 out of 5 stars
"The Power Hardcover – October 10, 2017",$20.87,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0316547611,Naomi Alderman,0316547611,,"Little, Brown and Company; F First Edition edition (October 10, 2017)",English,6 x 1.2 x 8.6 inches,1.1 pounds,4.0 out of 5 stars
"Artemis: A Novel Hardcover – November 14, 2017",$16.63,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0553448129,Andy Weir,0553448129,,"Crown; F First Edition edition (November 14, 2017)",English,6.4 x 1.1 x 9.5 inches,1.2 pounds,3.9 out of 5 stars
"Acceptance: A Novel (The Southern Reach Trilogy) Paperback – September 2, 2014",$13.24,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0374104115,Jeff VanderMeer,0374104115,352 pages,"FSG Originals; First Edition edition (September 2, 2014)",English,5.1 x 0.9 x 7.5 inches,8.8 ounces,3.4 out of 5 stars
"Uncompromising Honor (Honor Harrington) Hardcover – October 2, 2018",$23.71,Books > Science Fiction & Fantasy > Science Fiction,"This title will be released on October 2, 2018.",http://www.amazon.com/gp/product/1481483501,David Weber,1481483501,,"Baen (October 2, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"The Alice Network: A Novel Paperback – Deckle Edge, June 6, 2017",$10.70,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0062654195,Kate Quinn,0062654195,528 pages,"William Morrow Paperbacks (June 6, 2017)",English,5.3 x 0.8 x 8 inches,12.8 ounces,4.7 out of 5 stars
"The Fallen (Memory Man series) Hardcover – April 17, 2018",$18.14,Books > Literature & Fiction > Action & Adventure,"This title will be released on April 17, 2018.",http://www.amazon.com/gp/product/1538761394,David Baldacci,1538761394,,"Grand Central Publishing (April 17, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
"Eleanor Oliphant Is Completely Fine: A Novel Hardcover – May 9, 2017",$18.16,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/0735220689,Gail Honeyman,0735220689,,"Pamela Dorman Books; F First Edition edition (May 9, 2017)",English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7 out of 5 stars
"The Punishment She Deserves: A Lynley Novel Hardcover – March 20, 2018",$18.30,"Books > Mystery, Thriller & Suspense > Mystery","This title will be released on March 20, 2018.",http://www.amazon.com/gp/product/0525954341,Elizabeth George,0525954341,,"Viking (March 20, 2018)",English,6.4 x 2 x 9.6 inches,2.2 pounds,5.0 out of 5 stars
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row Hardcover – January 22, 2018",$19.43,Books > Biographies & Memoirs > True Crime,In Stock.,http://www.amazon.com/gp/product/0316412651,James PattersonAlex AbramovichMike Harvkey,0316412651,,"Little, Brown and Company (January 22, 2018)",English,6.5 x 1.4 x 9.5 inches,1.4 pounds,4.2 out of 5 stars
