Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
"The Last Mrs. Parrish: A Novel Hardcover – October 17, 2017",$17.67 ,Books > Literature & Fiction > Women's Fiction,Liv Constantine,,"Harper; First Edition edition (October 17, 2017)",English,6 x 1.2 x 9 inches,4.2 out of 5 stars
"The Woman in Cabin 10 Paperback – April 11, 2017",$9.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,384 pages,"Gallery/Scout Press; Reprint edition (April 11, 2017)",English,5.3 x 1 x 8.2 inches,3.8 out of 5 stars
"The Rising Sea (The NUMA Files) Hardcover – March 13, 2018",$18.90 ,Books > Literature & Fiction > Action & Adventure,Clive Cussler,,"G.P. Putnam's Sons (March 13, 2018)",English,6.2 x 1.6 x 9.3 inches,5.0 out of 5 stars
"Big Little Lies Paperback – August 11, 2015",$12.78 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,512 pages,"Berkley; Reprint edition (August 11, 2015)",English,5.5 x 1.1 x 8.2 inches,4.5 out of 5 stars
"Hamilton: The Revolution Hardcover – April 12, 2016",$28.20 ,Books > Arts & Photography > Performing Arts,Lin-Manuel MirandaJeremy McCarter,,"Grand Central Publishing; First Edition edition (April 12, 2016)",English,9 x 1.6 x 10.6 inches,4.8 out of 5 stars
"Lincoln in the Bardo: A Novel Paperback – February 6, 2018",$10.70 ,Books > Literature & Fiction > Genre Fiction,George Saunders,368 pages,"Random House Trade Paperbacks; Reprint edition (February 6, 2018)",English,5.5 x 0.8 x 8.2 inches,3.6 out of 5 stars
"All the Light We Cannot See: A Novel Paperback – April 4, 2017",$9.98 ,Books > Literature & Fiction > Genre Fiction,Anthony Doerr,544 pages,"Scribner; Reprint edition (April 4, 2017)",English,5.2 x 1.1 x 8 inches,4.6 out of 5 stars
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed) Paperback – Box set, June 12, 2012",$26.49 ,Books > Literature & Fiction > Women's Fiction,E L James,1625 pages,"Vintage; Box edition (June 12, 2012)",English,5.2 x 3 x 8 inches,4.2 out of 5 stars
"Fifty Fifty (Harriet Blue) Hardcover – February 19, 2018",$16.79 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,,"Little, Brown and Company (February 19, 2018)",English,6.4 x 1.4 x 9.6 inches,3.7 out of 5 stars
"Erotic Stories for Punjabi Widows: A Novel Paperback – March 6, 2018",$10.17 ,Books > Literature & Fiction > Genre Fiction,Balli Kaur Jaswal,320 pages,"William Morrow Paperbacks; Reprint edition (March 6, 2018)",English,5.3 x 0.7 x 8 inches,4.0 out of 5 stars
"You're Only Old Once!: A Book for Obsolete Children Hardcover – January 27, 2009",$11.60 ,Books > Humor & Entertainment > Humor,Dr. Seuss,,Random House; 1st edition (March 1986),English,8.4 x 0.4 x 11.4 inches,4.5 out of 5 stars
"The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy) Hardcover – February 13, 2018",$18.35 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,,"Scribner (February 13, 2018)",English,6 x 1.2 x 9 inches,3.9 out of 5 stars
"Lilac Girls: A Novel Paperback – February 28, 2017",$12.61 ,Books > Literature & Fiction > Genre Fiction,Martha Hall Kelly,512 pages,"Ballantine Books; Reprint edition (February 28, 2017)",English,5.2 x 1.1 x 7.9 inches,4.6 out of 5 stars
"One Hundred Years of Solitude (Harper Perennial Modern Classics) Paperback – February 21, 2006",$10.69 ,Books > Literature & Fiction > World Literature,Gabriel Garcia MarquezGregory Rabassa,417 pages,"Harper Perennial Modern Classics; Reprint edition (February 21, 2006)",English,5.3 x 1 x 8 inches,4.0 out of 5 stars
"Last Shot (Star Wars): A Han and Lando Novel Hardcover – April 17, 2018",$24.20 ,Books > Literature & Fiction > Genre Fiction,Daniel José Older,,"Del Rey (April 17, 2018)",English,6.1 x 0.9 x 9.2 inches,
"The Secret Paperback – January 16, 2015",$26.43 ,Books > Humor & Entertainment > Puzzles & Games,Byron Preiss,226 pages,"iBooks (January 16, 2015)",English,6 x 0.5 x 9 inches,2.9 out of 5 stars
"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire Paperback – October 3, 2017",$25.33 ,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski,1216 pages,"Orbit; Translation edition (October 3, 2017)",English,5.5 x 3.2 x 8.4 inches,4.4 out of 5 stars
"How to Stop Time Hardcover – February 6, 2018",$17.10 ,Books > Literature & Fiction > Genre Fiction,Matt Haig,,"Viking; 1st Edition edition (February 6, 2018)",English,5.9 x 1.1 x 8.6 inches,4.3 out of 5 stars
"Tales From the Yawning Portal (Dungeons & Dragons) Hardcover – April 4, 2017",$25.77 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,,"Wizards of the Coast (April 4, 2017)",English,8.5 x 0.6 x 11.2 inches,4.5 out of 5 stars
"Tomb of Annihilation (Dungeons & Dragons) Hardcover – September 19, 2017",$34.75 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,,"Wizards of the Coast (September 19, 2017)",English,8.5 x 0.7 x 11.2 inches,4.7 out of 5 stars
"Armada: A novel by the author of Ready Player One Paperback – April 12, 2016",$12.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ernest Cline,384 pages,"Broadway Books; Reprint edition (April 12, 2016)",English,5.2 x 0.8 x 8 inches,3.6 out of 5 stars
"The Three-Body Problem Paperback – January 12, 2016",$4.85 ,Books > Literature & Fiction > World Literature,Cixin Liu,416 pages,"Tor Books (January 12, 2016)",English,6.2 x 1.1 x 9.2 inches,4.2 out of 5 stars
"The Hobbit Paperback – September 18, 2012",$9.50 ,Books > Children's Books > Science Fiction & Fantasy,J. R. R. Tolkien,300 pages,"Houghton Mifflin Harcourt (September 18, 2012)",English,5.5 x 0.8 x 8.2 inches,4.7 out of 5 stars
"Her Body and Other Parties: Stories Paperback – October 3, 2017",$10.69 ,Books > Literature & Fiction > Short Stories & Anthologies,Carmen Maria Machado,248 pages,"Graywolf Press; 1st Edition edition (October 3, 2017)",English,5.6 x 0.8 x 8.2 inches,4.2 out of 5 stars
"Dark Sacred Night (A Bosch and Ballard Novel) Hardcover – October 30, 2018",$26.10 ,"Books > Mystery, Thriller & Suspense > Mystery",Michael Connelly,,"Little, Brown and Company (October 30, 2018)",English,,
"The 17th Suspect (Women's Murder Club) Hardcover – April 30, 2018",$18.90 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,,"Little, Brown and Company (April 30, 2018)",English,1.1 x 1.1 inches,4.5 out of 5 stars
"Raspberry Danish Murder (A Hannah Swensen Mystery) Hardcover – February 27, 2018",$14.69 ,"Books > Mystery, Thriller & Suspense > Mystery",Joanne Fluke,,"Kensington (February 27, 2018)",English,5.8 x 1.3 x 8.6 inches,3.9 out of 5 stars
"Robert B. Parker's Colorblind (A Jesse Stone Novel) Hardcover – September 11, 2018",$24.30 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Reed Farrel Coleman,,"G.P. Putnam's Sons (September 11, 2018)",English,6 x 1.1 x 9 inches,
"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",$6.82 ,Books > Literature & Fiction > Genre Fiction,Stephen King,560 pages,"Pocket Books; Reissue edition (June 1, 2006)",English,7.6 x 4.2 x 1.4 inches,4.4 out of 5 stars
"The Long Way Home: A Chief Inspector Gamache Novel Paperback – July 28, 2015",$13.73 ,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,400 pages,"Minotaur Books; Reprint edition (July 28, 2015)",English,5.5 x 1.1 x 8.2 inches,4.2 out of 5 stars
"The Nature of the Beast: A Chief Inspector Gamache Novel Paperback – July 26, 2016",$10.87 ,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,400 pages,"Minotaur Books; Reprint edition (July 26, 2016)",English,5.4 x 1.1 x 8.3 inches,4.6 out of 5 stars
"Stillhouse Lake (Stillhouse Lake Series) Paperback – July 1, 2017",$9.94 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Rachel Caine,300 pages,"Thomas & Mercer; First Edition edition (July 1, 2017)",English,5.5 x 1 x 8.2 inches,4.5 out of 5 stars
"Claws for Concern (Cat in the Stacks Mystery) Hardcover – February 20, 2018",$17.10 ,"Books > Mystery, Thriller & Suspense > Mystery",Miranda James,,"Berkley (February 20, 2018)",English,6.4 x 1 x 9.3 inches,4.6 out of 5 stars
"Operator Down: A Pike Logan Thriller Hardcover – January 9, 2018",$17.70 ,Books > Literature & Fiction > Action & Adventure,Brad Taylor,,"Dutton (January 9, 2018)",English,6.3 x 1.4 x 9.3 inches,4.6 out of 5 stars
"Mrs. Dalloway Paperback – September 24, 1990",$8.42 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Virginia WoolfMaureen Howard,224 pages,Mariner Books; 1 edition (1990),English,5.3 x 0.6 x 8 inches,3.8 out of 5 stars
"Brave New World Paperback – September 29, 2017",$9.89 ,Books > Literature & Fiction,Aldous Huxley,176 pages,"CreateSpace Independent Publishing Platform (September 29, 2017)",English,6 x 0.4 x 9 inches,3.7 out of 5 stars
"Duel to the Death (Ali Reynolds) Hardcover – March 20, 2018",$17.70 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",J.A. Jance,,"Touchstone (March 20, 2018)",English,6 x 1.2 x 9 inches,
"Mindhunter: Inside the FBI's Elite Serial Crime Unit Paperback – October 24, 2017",$11.59 ,Books > Politics & Social Sciences > Politics & Government,John E. DouglasMark Olshaker,448 pages,"Gallery Books; Media Tie-In edition (October 24, 2017)",English,6 x 1 x 9 inches,4.4 out of 5 stars
"The Sun Also Rises Paperback – October 17, 2006",$9.24 ,Books > Literature & Fiction > Classics,Ernest Hemingway,251 pages,"Scribner (October 17, 2006)",English,5.2 x 0.6 x 8 inches,3.8 out of 5 stars
"The Largesse of the Sea Maiden: Stories Hardcover – January 16, 2018",$15.79 ,Books > Literature & Fiction > Genre Fiction,Denis Johnson,,"Random House (January 16, 2018)",English,5.7 x 0.9 x 8.6 inches,4.3 out of 5 stars
"The Wise Man's Fear (Kingkiller Chronicle) Mass Market Paperback – April 2, 2013",$6.80 ,Books > Literature & Fiction > Action & Adventure,Patrick Rothfuss,1120 pages,"DAW; Reissue edition (April 2, 2013)",English,4.2 x 1.9 x 6.8 inches,4.6 out of 5 stars
"The Pharaoh Key (Gideon Crew) Hardcover – June 12, 2018",$18.30 ,Books > Literature & Fiction > Action & Adventure,Douglas Preston,,"Grand Central Publishing (June 12, 2018)",English,1.1 x 1.1 inches,
"Brief Cases (Dresden Files) Hardcover – June 5, 2018",$25.20 ,Books > Literature & Fiction > Short Stories & Anthologies,Jim Butcher,,"Ace (June 5, 2018)",English,6 x 1.1 x 9 inches,
"El Alquimista: Una Fabula Para Seguir Tus Suenos (Spanish) Paperback – January 22, 2002",$9.07 ,Books > Literature & Fiction > Foreign Language Fiction,Paulo Coelho,192 pages,"HarperCollins Español (January 22, 2002)",Spanish,5.2 x 0.5 x 8 inches,4.7 out of 5 stars
"Red Alert: An NYPD Red Mystery Hardcover – March 26, 2018",$19.49 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,,"Little, Brown and Company; Large Print edition (March 26, 2018)",English,6.4 x 1.5 x 9.6 inches,
