Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
UNLUCKY 13,$8.83 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 12201 >  > in > Books > # > 116 >  > in > Books > Mystery & Suspense > # > 41 >  > in > Books > Mystery & Suspense > Women Sleuths",James PattersonMaxine Paetro,400,VisionGrand Central Publishing,English,6.88 x 4.25 x 1.12 Inches (US),
Gray Mountain,$8.54 ,Books > Literature & Fiction > Fiction > Legal > Best seller ranking: > # > 1432 >  > in > Books > # > 91 >  > in > Books > Literature & Fiction > # > 12 >  > in > Books > Literature & Fiction > Mystery & Suspense,"Grisham, John",461,Random House,English,,4.5
Warbreaker,$26.16 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Brandon Sanderson,592,Tom Doherty AssociatesTor Books,English,9.47 x 6.46 x 46.61 Inches (US),
The Cutting,$11.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural","Hayman, James",442,HarperCollins,English,8.25 x 5.50 x 1.25 Inches,
The Walt Longmire Mystery Series Boxed Set Volumes 1-4,$41.81 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 2742 >  > in > Books > # > 209 >  > in > Books > Literature & Fiction > # > 29 >  > in > Books > Literature & Fiction > Mystery & Suspense",Craig Johnson,,Penguin BooksPenguin Publishing Group,English,7.14 x 5.20 x 2.90 Inches (US),4
Things Fall Apart,$7.96 ,Books > Literature & Fiction > Fiction > Classics,"Achebe, Chinua",114,Lightning Source Inc,English,9.75 x 7.50 x 0.25 Inches,
Cross Kill: An Alex Cross Story,$5.63 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime > Best seller ranking: > # > 5346 >  > in > Books > # > 262 >  > in > Books > ARCHIVE > # > 69 >  > in > Books > ARCHIVE > Books Misc",James Patterson,144,"BookShotsLittle, Brown and Company",English,,4.6667
American Gods,$20.29 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",541,HarperCollins,English,9.00 x 6.25 x 1.25 Inches,
Skipping Christmas,$7.19 ,Books > Literature & Fiction > Fiction > General,"Grisham, John",248,Random House,English,7.75 x 4.25 x 0.50 Inches,1
Pretty Girls,$12.79 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",Karin Slaughter,432,William Morrow &amp; Co,English,8.00 x 5.25 x 1.25 Inches,
Wyrd Sisters,$9.54 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Pratchett, Terry",360,HarperCollins,English,7.50 x 4.25 x 1.00 Inches,
Dishonored,$6.41 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Christopher, Adam",368,Random House,English,4.19 x 6.88 x 8.00 Inches,
Shift,$9.48 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Hugh Howey,576,Houghton Mifflin HarcourtJohn Joseph Adams/Mariner Books,,203.20 x 5.31 x 1.42 Millimeters,
CAMINO ISLAND: A NOVEL,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",368,,,,
